id,knowledge,news_source,news,ideology,engagement,age,education,female
298,36,Conservative,18,42.8,80.1,38.7,13,No
299,35,Comedy,11,59,44.9,18.2,9,No
300,71,Comedy,50,32.2,83.9,58.6,16,No
303,14,None,32,56.5,43.3,21.3,13,Yes
304,27,None,27,33.5,64.3,65.5,14,No
306,70,Conservative,74,50.3,39.5,48.2,12,No
307,41,None,12,58.5,70.1,54.6,16,Yes
308,50,Conservative,75,62,78.1,30.3,16,Yes
309,92,Conservative,45,34.3,76.3,67.3,12,No
310,40,None,6,33.4,19.3,18.5,10,No
312,23,None,8,21.5,91.2,23,15,Yes
313,80,Conservative,34,38.2,99.2,39.2,16,No
314,62,Conservative,73,54.5,95.1,57.5,13,Yes
316,70,None,19,20.7,83.5,39.3,16,No
317,67,None,42,42.9,77.2,48.8,12,No
319,40,None,31,37,61.8,40.9,12,No
321,19,None,9,49.7,45.6,71,9,Yes
322,74,Conservative,59,58.8,90.8,35.3,16,No
323,49,Conservative,80,28.6,98.3,67.9,15,Yes
324,71,Conservative,16,30,68.3,46.7,17,No
327,40,None,48,33.2,78.1,22.3,12,No
328,66,None,46,26.6,84,49.7,14,No
329,39,Conservative,33,89,73.8,82.5,12,Yes
330,45,Conservative,67,30.7,76,45.1,16,No
332,100,Conservative,67,37.8,95.1,61.3,16,No
333,74,None,35,69.8,58.2,54.4,17,No
334,44,None,8,28.6,68.2,61.2,13,Yes
335,48,None,17,38.3,82.9,81.3,14,Yes
336,48,Conservative,66,71,81.7,58.8,17,Yes
340,49,None,25,11.4,90.7,47,15,Yes
341,27,None,11,77,48,51.1,16,No
342,35,None,50,23.3,41.4,18,12,Yes
343,52,Conservative,45,42.7,80.3,30,14,Yes
344,35,None,7,20,86.1,46.6,15,Yes
345,53,None,45,36.3,68,31,15,No
346,31,Conservative,14,62.6,83.2,61.7,10,No
347,79,Conservative,33,37.9,66.9,69.8,12,Yes
349,32,Conservative,76,23.1,81.6,61.9,12,No
353,83,Conservative,64,48.1,82.8,73.9,15,Yes
355,50,Conservative,44,54.8,45.2,37.1,14,No
357,93,Conservative,48,34.8,79.2,46,16,Yes
360,24,None,33,32.9,46.4,50.1,11,No
361,14,None,6,76,57.6,48.1,11,Yes
362,40,Conservative,54,6.7,68.2,46.3,15,Yes
364,84,Conservative,41,44.1,70.3,54.4,16,No
368,23,None,16,53,54.3,19.9,12,No
373,23,Conservative,25,71,77,81.5,8,No
374,37,None,28,31.8,94.6,20.5,13,No
375,48,Conservative,57,94,83.3,24.3,13,Yes
377,19,None,7,60.9,41.7,26.8,16,Yes
378,80,None,40,57.1,70.8,65.3,16,No
380,76,None,36,56.8,84,42.8,12,Yes
383,76,None,39,26.8,70.7,35.4,16,Yes
384,48,Conservative,51,51.9,98.1,65.5,17,Yes
386,31,None,63,45.3,82.3,50.1,18,Yes
388,83,None,6,25.1,70.4,65.8,17,No
389,44,Conservative,58,34.3,86.1,80.6,12,No
390,40,None,39,17.7,72.3,40.8,12,No
391,31,None,34,59.6,53.8,82.7,12,Yes
393,18,None,27,93,83.7,78.8,12,Yes
395,1,None,48,48.6,81.4,82.3,11,Yes
396,28,None,23,66.7,83.2,50.2,12,No
398,70,Conservative,23,42.6,57.9,56.9,13,No
400,44,Conservative,46,50.1,76.3,60.5,10,Yes
404,41,Conservative,54,55.3,42.8,28.5,9,No
405,23,None,39,67.4,38,44.1,12,Yes
406,89,Conservative,51,59.7,81.2,58.3,17,No
408,32,Conservative,61,22,76.6,74.7,12,Yes
409,48,None,9,75,75.9,70.1,9,No
410,39,None,48,58.6,58.7,78.4,12,Yes
411,44,None,7,55,66.5,71.8,9,No
412,75,Conservative,75,26,74.8,49.6,14,No
413,31,None,40,54.8,51.1,22.7,16,Yes
414,83,None,26,13.3,83.2,79,16,No
417,92,Conservative,52,50,94.3,79.9,13,No
418,66,None,77,57.5,97,51.6,16,Yes
419,71,Conservative,54,44.6,89.4,61.1,12,No
420,54,Conservative,40,19.7,79.7,39.5,12,No
421,83,Conservative,76,30.4,88.6,56.1,16,No
422,79,Comedy,34,33.5,97.3,43.9,17,Yes
423,71,None,28,53.2,85.3,52.1,14,Yes
424,36,Conservative,62,52.5,63.3,41.5,12,Yes
425,32,None,55,33.4,63.5,86.2,12,Yes
427,54,None,26,46,63.4,72.9,11,Yes
428,49,None,18,90,76,76.2,12,Yes
429,22,Conservative,14,20.9,72.9,37.3,10,No
432,50,None,34,55.7,82.4,37.6,13,No
434,36,None,35,60,64,36,14,No
435,62,Conservative,50,41.3,62.3,51.4,12,Yes
436,44,None,6,32.3,67.3,31.5,18,Yes
438,78,None,20,21,82.3,60.7,18,No
439,58,Conservative,61,59.3,79,72.8,15,No
441,88,Conservative,63,35.1,70.6,51.6,18,No
442,10,Conservative,24,44.7,67.3,57.2,9,Yes
443,79,None,45,45.1,80.3,69.6,16,No
444,74,None,47,43.5,84.8,31.8,16,Yes
445,83,Conservative,61,46.5,64.7,28.3,18,No
448,70,None,33,41.5,83.1,55.4,12,No
449,57,None,43,43.4,93.3,52,12,Yes
454,39,None,62,56.1,47.9,20.5,15,No
455,70,Conservative,62,13.9,64,45.2,14,Yes
456,5,None,12,86,98,50.5,12,No
458,15,Conservative,57,42,71.1,55.6,12,Yes
459,58,None,43,34.2,71.8,53.8,13,Yes
462,74,None,24,4.6,34.6,49.4,16,No
464,40,None,39,40.4,79.5,54.7,12,Yes
466,44,None,31,44.6,95.9,84.3,13,Yes
468,39,None,47,37.4,87,38.2,16,No
469,57,Conservative,60,76.9,83.9,76.4,18,Yes
473,45,None,6,60.3,69,41.3,12,No
474,48,None,60,32.7,71.9,44.4,12,Yes
476,61,Conservative,46,2.5,84.5,48.9,12,No
478,75,Conservative,79,44.3,58.9,35.3,16,No
479,39,None,42,57.9,79.4,60.1,12,Yes
480,37,Conservative,88,70.8,96.5,53.6,16,No
482,28,Conservative,58,19.2,82.4,69.2,9,Yes
483,18,None,27,39.9,24.3,72.3,10,Yes
486,89,Comedy,43,64,75.3,55.1,12,No
487,58,Conservative,42,23.8,84.7,62.5,14,Yes
489,83,Conservative,60,39.7,69.4,38.8,12,No
493,23,None,8,77,61.3,18.4,16,No
494,36,None,6,39.9,76.9,36.1,16,Yes
496,96,Conservative,63,2.3,73.6,68,12,Yes
499,83,None,39,64.6,91.7,55.5,12,No
500,92,Conservative,80,24.8,84.2,69.8,15,No
502,97,None,18,32.1,89.7,32.6,16,Yes
503,13,None,28,60,26,59.5,12,Yes
504,45,Conservative,24,48.5,70.1,42.8,12,No
506,62,Conservative,72,46.1,89.4,37.1,13,No
507,66,Conservative,46,22,84,50,16,No
510,40,Conservative,88,45.7,64.9,32.9,13,Yes
511,40,None,37,2.8,82.1,34.3,18,Yes
512,14,Conservative,75,58,78.8,26.8,14,Yes
513,23,Conservative,61,35.2,88.9,40.4,15,No
514,84,Conservative,37,56.2,60.3,43.2,13,No
516,48,None,29,56.2,73.4,60,16,No
518,76,Conservative,67,30.9,68.5,77.8,12,Yes
520,40,None,6,46.7,89.4,32.5,18,Yes
521,70,None,52,43.6,86.9,41.9,18,Yes
528,71,Conservative,87,35.7,51.8,77,16,No
529,31,Conservative,42,2.1,24.5,57.9,12,Yes
530,97,Conservative,43,35.4,91.5,42.4,13,Yes
531,75,Conservative,62,29.2,92.9,62.8,15,Yes
532,37,Conservative,59,26.4,58.5,52.8,14,Yes
534,19,None,11,42.9,95.1,47.6,10,Yes
535,32,None,15,71,50.1,73.1,14,Yes
536,26,None,13,41.6,67,58.7,12,Yes
537,31,None,15,31,76,38.8,14,Yes
541,27,None,6,52.3,33.2,24.3,12,No
543,28,Conservative,40,65.9,38.8,45.9,15,Yes
544,67,Conservative,67,23.9,53.2,57.9,12,Yes
545,57,None,44,35.1,74.6,42.1,16,No
546,75,Conservative,46,46.6,95.1,33.1,12,No
548,39,None,12,26.3,51.3,54.9,18,Yes
550,79,None,21,60.2,53.9,34.7,18,No
552,53,Conservative,68,49.5,90.6,48.8,16,Yes
554,63,None,74,51,86.6,47.5,15,No
556,79,None,18,21.2,55.4,40,12,No
557,49,Comedy,38,41.5,73.1,50.6,15,Yes
558,66,Conservative,77,49.7,83.4,62.7,16,Yes
559,48,Comedy,76,67.7,93.4,26.4,14,Yes
560,10,None,32,48.4,74,70.8,10,Yes
563,53,None,21,70.3,73.3,62.1,14,No
565,83,None,36,74.8,76.6,64.9,13,Yes
566,35,Conservative,44,25,87.3,66.7,12,No
567,92,Comedy,71,48.1,84.5,34.2,18,No
569,48,Conservative,56,18.6,81.3,34.7,12,No
571,75,Conservative,82,38,51.6,76.2,15,Yes
572,36,Conservative,62,38,50.1,40.2,16,No
576,80,Conservative,74,10,91.3,64.8,12,No
577,54,None,58,35.6,93.3,35.8,17,No
582,66,None,73,70,75.9,54,18,Yes
584,27,None,39,43.3,62.5,69.4,12,Yes
587,14,None,16,56.4,60.1,83.4,8,Yes
588,18,None,20,41,71.4,44.4,12,No
590,45,None,33,46.8,91.8,18.8,12,Yes
592,88,Conservative,68,40.7,74.4,36.8,16,No
595,23,Conservative,52,98.3,45.2,24.6,14,Yes
597,14,Conservative,82,23.5,68.6,56,12,Yes
598,31,Conservative,41,77.5,71.2,21.1,12,Yes
602,96,Conservative,58,34.5,85.9,55,16,Yes
604,57,Conservative,70,12.2,65.3,81.3,13,Yes
605,71,None,31,44.4,75.2,32.1,13,No
609,100,Conservative,96,0.2,77.1,62.3,16,No
611,83,None,33,59,87.8,58.9,17,Yes
612,43,None,18,49,63.1,62.9,16,Yes
615,57,None,37,27.4,72.1,50.1,12,No
616,61,Conservative,79,56.8,74.1,44.2,12,Yes
617,13,None,15,49.7,92.4,41.2,12,Yes
618,32,None,48,50.6,82.2,86.2,12,Yes
619,70,Comedy,50,87.5,97.7,51.4,14,No
622,62,None,53,41.9,70.8,34.5,17,Yes
624,83,None,48,56.9,78.6,50.6,17,No
626,49,None,45,70,89.1,44.3,16,Yes
627,54,Conservative,39,2,76,36.3,12,No
628,75,Conservative,57,34.2,81.5,38.1,17,Yes
629,97,Conservative,45,30.3,97.6,84.8,16,Yes
630,67,Conservative,47,24.3,73.5,72.4,16,No
631,48,Comedy,56,78,90.1,74,14,Yes
632,1,None,6,69,28,89.1,12,Yes
633,63,Conservative,62,41.9,25.5,66.2,14,No
634,22,None,8,57,84.9,72.2,10,Yes
635,36,None,22,5.2,67.3,76.8,12,Yes
637,58,None,13,35.2,93.3,48.4,12,No
639,85,None,44,56.9,75.1,34.8,18,Yes
643,66,None,21,58,85.7,55.2,14,Yes
644,53,None,25,5,77.2,77.1,12,Yes
645,49,None,44,58.2,79.4,43.5,16,Yes
646,40,Conservative,92,57.6,79.9,33,18,Yes
647,31,None,26,89,33.9,54.9,10,No
648,62,Conservative,44,22.3,53.3,83.4,18,No
652,52,None,14,23.8,80.6,34.4,16,Yes
655,88,Conservative,90,59.9,71.9,37.4,14,No
656,27,None,18,41.7,76.6,66.7,12,Yes
657,84,Conservative,45,32.4,84.6,37.8,13,No
659,44,None,32,45.1,77,77.9,9,Yes
661,45,None,6,42.8,93,55.4,12,No
662,44,None,29,51.6,86.9,40.6,14,No
663,40,None,15,72,79.3,25.5,12,Yes
664,44,None,25,51.1,63.3,52.6,12,Yes
666,37,Conservative,16,35.4,66.1,37.1,18,Yes
667,35,None,19,51.6,78.6,54.1,14,Yes
668,71,None,15,50.4,63.8,58.3,13,No
670,32,Conservative,13,46.4,85.6,34.5,15,Yes
674,50,None,47,74.7,82.3,54.8,16,Yes
677,54,None,6,46.4,73.6,24.4,16,No
684,53,None,23,4.6,52.2,68.4,12,No
686,50,None,51,38.8,75.1,33.1,12,No
689,50,None,27,26,69.9,43.1,15,Yes
690,61,Conservative,57,46.8,86.5,59.5,16,No
693,76,None,11,52.6,87.3,49,13,No
694,18,None,13,31.7,86.4,71.1,8,Yes
696,75,None,41,6.9,68.6,44.7,16,Yes
697,50,None,45,43.5,75.5,64.7,12,Yes
698,89,Conservative,61,36.8,96.3,45.4,15,Yes
700,45,Conservative,36,20.5,68.3,20.5,14,No
702,54,Conservative,55,27,56.7,33.2,10,No
706,71,Conservative,35,7.6,80,43,17,Yes
707,45,Comedy,39,49.2,72.7,58.4,14,No
708,62,Conservative,62,31,85,57.7,16,Yes
709,18,None,6,48.4,54.4,40.1,12,No
710,58,Conservative,60,30.8,93.3,57.2,17,Yes
715,27,Comedy,41,76.1,31.1,37.7,12,No
716,41,Conservative,48,54.2,46.4,18,10,No
717,100,Conservative,41,20,77.7,68.9,16,No
720,52,None,56,10.4,66.2,72.8,14,No
721,5,None,6,1,45.5,19.6,10,No
724,27,Conservative,23,43.8,80.9,27.9,16,Yes
725,61,Conservative,67,7.7,86.3,37.8,16,Yes
726,57,Conservative,32,54,82.5,57.3,18,Yes
727,70,Conservative,34,28.2,68.8,42.6,12,No
729,54,None,18,38.7,76.8,42.8,16,Yes
730,32,None,24,59,71.1,26.1,14,Yes
733,23,None,18,41,70.7,47.7,12,Yes
735,71,None,30,55.1,75.7,27.7,16,No
737,36,Conservative,69,51.8,58.1,31.1,13,No
739,44,Conservative,54,30.3,65.2,45.3,12,Yes
740,74,Conservative,73,30.5,88.9,49.8,9,Yes
742,78,None,34,14.1,76.2,53.7,13,No
743,61,None,48,58.5,50.7,60.4,12,Yes
748,35,None,6,17,46.7,37.1,12,No
749,80,Conservative,71,41.6,79.6,52.5,16,Yes
750,70,Conservative,60,32.7,80.1,63.9,12,Yes
751,49,None,11,55,69.2,29.5,12,No
753,58,None,43,41.2,96.2,49.6,12,No
754,66,None,7,24,35.8,60,15,No
757,62,None,85,30.5,81.8,31.9,16,No
758,31,None,20,30,63,54,18,No
759,61,Conservative,32,30.1,85.9,70.7,8,No
761,62,None,36,21.4,84.9,76.1,13,No
762,48,None,50,47.3,89.1,52.4,15,No
763,22,None,12,49,78,30.7,12,Yes
764,28,None,19,94.4,51.8,29.3,9,No
765,45,None,39,48.1,77,34,16,Yes
766,53,None,71,53.9,64.5,47,12,No
767,41,None,10,40,64,77.6,13,Yes
769,44,None,15,34.7,81.8,48.7,12,Yes
771,44,None,25,51.4,68.8,95.3,9,Yes
773,49,None,27,32.9,85.8,51.1,13,No
774,36,None,21,84.8,50.2,25.8,14,Yes
775,66,None,45,49.4,63,55.4,16,No
776,67,None,28,76,100,55.8,12,Yes
778,97,Comedy,54,78.9,91.7,62.9,18,No
779,70,None,10,41.6,75.6,52.2,12,No
780,44,Conservative,45,50.5,82.4,45.5,12,Yes
781,32,Conservative,32,22.2,78.4,23.3,12,No
782,40,None,59,22.2,59.4,30.2,16,Yes
787,45,None,6,41.4,77.8,36.5,14,Yes
788,75,Conservative,75,59.6,97.1,69.9,15,Yes
789,44,Conservative,21,22.6,67.1,27.5,13,Yes
790,45,None,48,26.4,76.5,40.3,16,Yes
795,83,Conservative,32,40.5,91.2,62.3,15,No
796,79,None,86,47.9,76.8,53.5,15,No
798,76,None,16,21.2,76.5,67.1,16,Yes
799,66,None,25,47.1,82.3,56.2,14,No
802,36,Conservative,65,38.8,58.3,77,13,Yes
803,58,Conservative,61,46.3,86.4,60,12,No
804,35,None,6,52.2,54.7,19.5,15,Yes
805,66,None,32,22.7,80.8,49.9,13,No
807,87,None,10,54,82.2,43.9,17,No
812,83,Conservative,40,22.3,80.1,71.3,14,No
818,66,None,6,76.1,89.8,41.9,16,Yes
821,27,Comedy,52,26.5,85.7,78.5,9,Yes
822,65,None,49,41.7,91.8,43.5,16,Yes
823,89,Comedy,49,51.8,62.3,72,16,No
825,71,Conservative,87,79,63.7,67.4,12,No
826,65,Conservative,43,27.6,94.4,59.6,12,No
829,49,Conservative,73,59.2,55.8,44.6,17,Yes
830,45,Conservative,39,95.5,48,48.1,12,No
832,27,Conservative,77,55.6,67.7,20,13,Yes
834,84,None,36,37.9,65.2,39.4,16,Yes
837,50,None,25,58,98.3,18.1,12,Yes
838,57,Comedy,23,53.6,89.9,47.9,16,Yes
842,80,None,19,61.2,56.2,30.8,13,No
846,19,Conservative,51,21,54.2,18.9,9,Yes
847,5,None,6,89,36.6,42.7,13,No
848,67,None,51,25.1,80.2,53.5,17,Yes
850,44,None,37,55.3,79.1,40.9,17,No
851,24,None,14,45.4,91.5,70,8,Yes
853,39,None,6,23.8,79.5,26,14,No
854,24,Conservative,64,53.4,76.7,18.8,12,Yes
855,40,None,18,51,68,37.6,13,No
857,58,None,17,41.8,75.1,65.6,8,No
858,80,None,74,50,96.6,57.3,13,Yes
859,50,Conservative,35,44.9,79.8,60.8,12,Yes
860,53,Conservative,62,25.8,69.5,78.1,16,Yes
862,92,None,57,55.7,71.6,56.9,15,No
864,53,None,68,36,62.9,52.3,15,No
865,44,None,17,45.8,69.4,68.4,12,Yes
866,49,None,11,51.7,55.7,80.3,9,No
867,49,None,39,46.2,80.3,88.5,11,Yes
871,65,Conservative,83,33.6,85.6,49,17,No
874,65,Conservative,56,76.8,74.4,66.6,12,No
875,36,None,30,53.2,37.6,66.5,12,Yes
876,58,None,78,44.5,75.3,38.9,14,Yes
879,84,None,18,53.3,89.4,34.2,18,Yes
880,49,Conservative,40,44.7,70.8,62.2,12,No
881,52,Comedy,53,82.4,53.4,45.9,13,Yes
882,37,None,70,23.6,84.5,50.6,12,Yes
884,52,Conservative,49,49,84.6,52.3,18,Yes
885,67,None,28,50.9,49.5,47.6,10,Yes
887,84,None,39,55.8,90.3,75.9,11,No
888,88,Comedy,64,49.8,76.8,77.7,16,Yes
890,97,None,81,40.8,63.8,84.8,12,No
891,71,Comedy,82,44.6,70.1,42.3,18,No
892,36,None,6,40.7,97.8,48.3,15,Yes
893,71,Conservative,98,31.6,76.7,40.5,16,No
898,5,Conservative,28,42.6,48.4,75.6,14,Yes
902,83,Conservative,60,23.4,84.1,46,13,No
906,65,Conservative,70,34,85,67.2,12,Yes
907,67,None,22,43.3,37.3,56.4,14,No
908,35,None,18,74,78.9,49.1,12,Yes
909,27,None,24,27,75,68.7,15,Yes
910,62,None,38,62.7,69.9,26.2,14,Yes
914,62,None,35,65,82.1,40.8,16,No
915,27,Conservative,35,55,76.6,82.2,8,Yes
917,40,Conservative,43,47,49.6,18.6,12,Yes
918,74,Conservative,40,24.5,75,57.2,14,No
919,92,Comedy,30,44.3,77.4,58.7,17,No
920,19,None,37,69,59.8,72.9,9,Yes
922,26,Conservative,32,86,53.8,46.9,13,Yes
923,76,None,31,58.5,75.9,79.1,16,No
926,54,Conservative,50,39.8,68.9,86,9,Yes
927,31,None,16,43.6,97.8,22.7,14,Yes
930,80,Conservative,87,40.7,81.9,51,10,No
932,53,Conservative,52,20.1,40.5,77.4,12,No
933,66,None,41,6,83.2,78.6,9,No
934,58,Conservative,49,20.1,74.4,37.8,15,Yes
942,57,Conservative,20,57.7,82.6,59.2,15,Yes
943,40,None,12,76.3,78.5,36.1,16,Yes
946,31,None,24,67.3,59.5,39.1,12,Yes
949,52,Conservative,40,34.8,82.5,34.2,18,No
950,63,Conservative,86,55.4,92.5,24.6,16,No
951,37,Conservative,41,47.4,99.7,30.3,12,No
954,50,None,18,31.9,94.2,28.3,13,Yes
957,45,Conservative,77,47.4,96.4,33,16,Yes
